FilePath,Category,ClassName,LineNumber,Snippet
"D:\Descargas\MALPlus\MALClient.Android\App.cs",IMAGE_LOADING,ImageService.Initialize,51,"            ImageService.Instance.Initialize(new Configuration"
"D:\Descargas\MALPlus\MALClient.Android\Utilities\AnimeImageExtensions.cs",IMAGE_LOADING,AnimeImageExtensions,18,"    public static class AnimeImageExtensions"
"D:\Descargas\MALPlus\MALClient.Android\Utilities\ImageLoading\CustomScrollListener.cs",IMAGE_LOADING,CustomScrollListener,17,"    class CustomScrollListener : RecyclerView.OnScrollListener"
"D:\Descargas\MALPlus\MALClient.Android\Utilities\FlingCollectionsHelper.cs",IMAGE_LOADING,FlingCollectionsHelper,12,"    public static class FlingCollectionsHelper"
"D:\Descargas\MALPlus\MALClient.Android\Utilities\MemoryWatcher.cs",IMAGE_LOADING,MemoryWatcher,57,"                ImageService.Instance.InvalidateMemoryCache();"
"D:\Descargas\MALPlus\MALClient.Android\Activities\MainActivity.hamburger.cs",IMAGE_LOADING,MainActivity,365,"            ImageService.Instance"
"D:\Descargas\MALPlus\MALClient.Android\Widgets\CalendarWidgetRemoteViewsService.cs",IMAGE_LOADING,CalendarWidgetRemoteViewsService,102,"                    var bitmap = ImageService.Instance.LoadUrl(vm.ImgUrl).AsBitmapDrawableAsync().Result;"
"D:\Descargas\MALPlus\MALClient.Android\BackgroundTasks\AiredNotificationCheckReceiver.cs",IMAGE_LOADING,AiredNotificationCheckReceiver,74,"                        (await ImageService.Instance.LoadUrl(entry.ImageUrl).AsBitmapDrawableAsync()).Bitmap);"
"D:\Descargas\MALPlus\MALClient.Android\DIalogs\PinnedUsersDialog.cs",IMAGE_LOADING,PinnedUsersDialog,83,"            view.FindViewById<ImageViewAsync>(Resource.Id.ProfileImg).Into(s.ImgUrl,new CircleTransformation());"
"D:\Descargas\MALPlus\MALClient.Android\DIalogs\KeyImageDialog.cs",IMAGE_LOADING,KeyImageDialog,61,"            dialogView.FindViewById<ImageViewAsync>(Resource.Id.Image).Into(animeLink, null,"
"D:\Descargas\MALPlus\MALClient.Android\DIalogs\ChangelogDialog.cs",IMAGE_LOADING,ChangelogDialog,14,"using FFImageLoading;"
