FilePath,LineStart,Symbol,LineEnd,Snippet
MALClient.Android/Activities/MainActivity.cs,233,DEBUG,236,"#if DEBUG
                var policy = new StrictMode.ThreadPolicy.Builder().PermitAll().Build();
                StrictMode.SetThreadPolicy(policy);
#endif"
MALClient.Android.Adapters/TelemetryProvider.cs,38,DEBUG,40,"#if !DEBUG
            AppCenter.Start(\"4bfd20dc-d9ba-4bdf-bb15-01397ec4a176\", typeof(Crashes),typeof(Analytics));
#endif"
MALClient.Android.Adapters/TelemetryProvider.cs,45,DEBUG,47,"#if !DEBUG
            Analytics.TrackEvent(@event.ToString());
#endif"
MALClient.Android.Adapters/TelemetryProvider.cs,52,DEBUG,54,"#if !DEBUG
            Analytics.TrackEvent($\"{@event}\", args.ToDictionary(e => e.Key, e => e.Param));
#endif"
MALClient.Android.Adapters/TelemetryProvider.cs,59,DEBUG,61,"#if !DEBUG
            Analytics.TrackEvent(@event);
#endif"
MALClient.Android.Adapters/TelemetryProvider.cs,91,DEBUG,96,"#if !DEBUG
            Analytics.TrackEvent(\"Navigation\", new Dictionary<string, string>
            {
                {\"Page\", page.ToString()}
            });
#endif"
MALClient.Android.Adapters/TelemetryProvider.cs,101,DEBUG,103,"#if !DEBUG
            //MetricsManager.TrackEvent($\"Navigation: {page}\");
#endif"
MALClient.Android/Managers/NavMgr.cs,53,ANDROID_API,53,"Toast.MakeText(MainActivity.CurrentContext, \"Press back again to exit\", ToastLength.Short).Show();"
MALClient.Android/Managers/NavMgr.cs,82,ANDROID_API,82,"MainActivity.CurrentContext.StartActivity(intent);"
MALClient.Android/ViewModels/SettingsViewModel.cs,28,ANDROID_API,29,"MainActivity.CurrentContext.StartActivity(new Intent(Intent.ActionView, global::Android.Net.Uri.Parse($\"market://details?id={MainActivity.CurrentContext.PackageName}\")));"
MALClient.Android/Resources/ResourceExtension.cs,28,ANDROID_API,37,"BrushAnimeItemInnerBackground = ResourcesCompat.GetColor(MainActivity.CurrentContext.Resources, Resource.Color.DarkBrushAnimeItemInnerBackground, null);\n                BrushAnimeItemBackground = ResourcesCompat.GetColor(MainActivity.CurrentContext.Resources, Resource.Color.DarkBrushAnimeItemBackground, null);\n                BrushAppBars = ResourcesCompat.GetColor(MainActivity.CurrentContext.Resources, Resource.Color.DarkBrushAppBars, null);\n                BrushFlyoutBackground = ResourcesCompat.GetColor(MainActivity.CurrentContext.Resources, Resource.Color.DarkBrushFlyoutBackground, null);\n                BrushRowAlternate1 = ResourcesCompat.GetColor(MainActivity.CurrentContext.Resources, Resource.Color.DarkBrushRowAlternate1, null);\n                BrushRowAlternate2 = ResourcesCompat.GetColor(MainActivity.CurrentContext.Resources, Resource.Color.DarkBrushRowAlternate2, null);\n                BrushText = ResourcesCompat.GetColor(MainActivity.CurrentContext.Resources, Resource.Color.DarkBrushText, null);\n                BrushTextSecondary = ResourcesCompat.GetColor(MainActivity.CurrentContext.Resources, Resource.Color.DarkBrushTextSecondary, null);\n                BrushSelectedDialogItem = ResourcesCompat.GetColor(MainActivity.CurrentContext.Resources, Resource.Color.DarkBrushSelectedDialogItem, null);"
MALClient.Android/Resources/ResourceExtension.cs,43,ANDROID_API,68,"BrushNoSearchResults = ResourcesCompat.GetColor(MainActivity.CurrentContext.Resources, Resource.Color.DarkBrushNoSearchResults, null);\n                BrushAnimeItemInnerBackground = ResourcesCompat.GetColor(MainActivity.CurrentContext.Resources, Resource.Color.LightBrushAnimeItemInnerBackground, null);\n                BrushAnimeItemBackground = ResourcesCompat.GetColor(MainActivity.CurrentContext.Resources, Resource.Color.LightBrushAnimeItemBackground, null);\n                BrushAppBars = ResourcesCompat.GetColor(MainActivity.CurrentContext.Resources, Resource.Color.LightBrushAppBars, null);\n                BrushFlyoutBackground = ResourcesCompat.GetColor(MainActivity.CurrentContext.Resources, Resource.Color.LightBrushFlyoutBackground, null);\n                BrushRowAlternate1 = ResourcesCompat.GetColor(MainActivity.CurrentContext.Resources, Resource.Color.LightBrushRowAlternate1, null);\n                BrushRowAlternate2 = ResourcesCompat.GetColor(MainActivity.CurrentContext.Resources, Resource.Color.LightBrushRowAlternate2, null);\n                BrushText = ResourcesCompat.GetColor(MainActivity.CurrentContext.Resources, Resource.Color.LightBrushText, null);\n                BrushTextSecondary = ResourcesCompat.GetColor(MainActivity.CurrentContext.Resources, Resource.Color.LightBrushTextSecondary, null);\n                BrushSelectedDialogItem = ResourcesCompat.GetColor(MainActivity.CurrentContext.Resources, Resource.Color.LightBrushSelectedDialogItem, null);\n                BrushNoSearchResults = ResourcesCompat.GetColor(MainActivity.CurrentContext.Resources, Resource.Color.LightBrushNoSearchResults, null);"
MALClient.Android/Resources/ResourceExtension.cs,80,ANDROID_API,231,"AccentColour = ResourcesCompat.GetColor(MainActivity.CurrentContext.Resources, ...);\n                ... (multiple AccentColour/AccentColourDark/OpaqueAccentColour assignments using MainActivity.CurrentContext.Resources)"
MALClient.Android/Utilities/GridViewColumnHelper.cs,16,ANDROID_API,64,"private static readonly int DefaultPrefferedItemWidthBig = MainActivity.CurrentContext.Resources.DisplayMetrics.Density >= 2 ? 190 : 200;\n        private static readonly int DefaultPrefferedItemWidthSmall = MainActivity.CurrentContext.Resources.DisplayMetrics.Density >= 2 ? 133 : 140;\n        ...\n        OnConfigurationChanged(MainActivity.CurrentContext.Resources.Configuration);\n        var config = MainActivity.CurrentContext.Resources.Configuration;"
MALClient.Android/Utilities/RateReminderPopUp.cs,35,ANDROID_API,35,"MainActivity.CurrentContext.StartActivity(new Intent(Intent.ActionView, global::Android.Net.Uri.Parse($\"market://details?id={MainActivity.CurrentContext.PackageName}\")));"
MALClient.Android/Fragments/SettingsFragments/SettingsGeneralFragment.cs,55,ANDROID_API,55,"MainActivity.CurrentContext.Recreate();"
MALClient.Android/Utilities/DimensionsHelper.cs,9,ANDROID_API,14,"return (int) (dp * (MainActivity.CurrentContext.Resources.DisplayMetrics.Density));\n            return px / MainActivity.CurrentContext.Resources.DisplayMetrics.Density;"
