PackageId,Version,Project,Category
Newtonsoft.Json,13.0.1,MALClient.Models,JSON
HtmlAgilityPack,1.11.28,MALClient.XShared,WEB
MvvmLightLibsStd10,5.4.1.1,MALClient.XShared,MVVM
Newtonsoft.Json,13.0.1,MALClient.XShared,JSON
System.Text.Json,4.7.2,MALClient.XShared,JSON
FastAdapter.Xamarin.Droid,1.6.0.2,MALClient.Android,UI_COMPONENTS
MaterialDrawer.Xamarin.Droid,5.3.6.2,MALClient.Android,UI_COMPONENTS
Microsoft.AppCenter,4.4.0,MALClient.Android,NOTIFICATIONS
Microsoft.AppCenter.Analytics,4.4.0,MALClient.Android,NOTIFICATIONS
Microsoft.AppCenter.Crashes,4.4.0,MALClient.Android,NOTIFICATIONS
morelinq,3.3.2,MALClient.Android,OTHER
MvvmLightLibsStd10,5.4.1.1,MALClient.Android,MVVM
Newtonsoft.Json,13.0.1,MALClient.Android,JSON
Xamarin.Android.Arch.Core.Common,1.1.1.3,MALClient.Android,PLATFORM_ANDROID
Xamarin.Android.Support.Annotations,28.0.0.3,MALClient.Android,PLATFORM_ANDROID
Xamarin.Android.Support.Design,28.0.0.3,MALClient.Android,UI_COMPONENTS
Xamarin.Android.Support.v4,28.0.0.3,MALClient.Android,UI_COMPONENTS
Xamarin.AndroidX.Legacy.Support.V4,1.0.0.15,MALClient.Android,UI_COMPONENTS
Xamarin.FFImageLoading,2.4.11.982,MALClient.Android,IMAGE
Xamarin.FFImageLoading.Transformations,2.4.11.982,MALClient.Android,IMAGE
Xamarin.Google.Android.Material,1.7.0.1,MALClient.Android,UI_COMPONENTS
Xamarin.GooglePlayServices.Ads.Identifier,118.0.1.7,MALClient.Android,NOTIFICATIONS
Xamarin.GooglePlayServices.Ads.Lite,122.3.0.1,MALClient.Android,NOTIFICATIONS
Xamarin.Android.Support.v7.AppCompat,28.0.0.1,PagerSlidingTabStrip,UI_COMPONENTS
